rsi_threshold,structure_lookback,stop_loss_atr,Trades,WinRate,ProfitFactor,TotalReturn,Expectancy
30,3,0.5,0,0.0,0.0,0.0,0.0
30,3,0.8,0,0.0,0.0,0.0,0.0
30,3,1.0,0,0.0,0.0,0.0,0.0
30,3,1.2,0,0.0,0.0,0.0,0.0
30,3,1.5,0,0.0,0.0,0.0,0.0
30,5,0.5,0,0.0,0.0,0.0,0.0
30,5,0.8,0,0.0,0.0,0.0,0.0
30,5,1.0,0,0.0,0.0,0.0,0.0
30,5,1.2,0,0.0,0.0,0.0,0.0
30,5,1.5,0,0.0,0.0,0.0,0.0
30,7,0.5,0,0.0,0.0,0.0,0.0
30,7,0.8,0,0.0,0.0,0.0,0.0
30,7,1.0,0,0.0,0.0,0.0,0.0
30,7,1.2,0,0.0,0.0,0.0,0.0
30,7,1.5,0,0.0,0.0,0.0,0.0
30,10,0.5,0,0.0,0.0,0.0,0.0
30,10,0.8,0,0.0,0.0,0.0,0.0
30,10,1.0,0,0.0,0.0,0.0,0.0
30,10,1.2,0,0.0,0.0,0.0,0.0
30,10,1.5,0,0.0,0.0,0.0,0.0
35,3,0.5,2,100.0,999.0,-0.51,98.88
35,3,0.8,2,100.0,999.0,-0.44,98.88
35,3,1.0,2,100.0,999.0,-0.41,98.88
35,3,1.2,2,100.0,999.0,-0.39,98.88
35,3,1.5,2,100.0,999.0,-0.36,98.88
35,5,0.5,2,100.0,999.0,-0.51,98.88
35,5,0.8,2,100.0,999.0,-0.44,98.88
35,5,1.0,2,100.0,999.0,-0.41,98.88
35,5,1.2,2,100.0,999.0,-0.39,98.88
35,5,1.5,2,100.0,999.0,-0.36,98.88
35,7,0.5,1,100.0,999.0,-0.25,99.0
35,7,0.8,1,100.0,999.0,-0.25,99.0
35,7,1.0,1,100.0,999.0,-0.25,99.0
35,7,1.2,1,100.0,999.0,-0.25,99.0
35,7,1.5,1,100.0,999.0,-0.25,99.0
35,10,0.5,2,100.0,999.0,-0.5,98.88
35,10,0.8,2,100.0,999.0,-0.45,98.9
35,10,1.0,2,100.0,999.0,-0.42,98.91
35,10,1.2,2,100.0,999.0,-0.4,98.92
35,10,1.5,2,100.0,999.0,-0.37,98.94
40,3,0.5,6,50.0,0.44,-2.52,-63.15
40,3,0.8,6,33.33,0.16,-2.92,-173.87
40,3,1.0,6,33.33,0.14,-2.96,-198.84
40,3,1.2,6,33.33,0.13,-3.02,-223.79
40,3,1.5,6,33.33,0.12,-4.51,-242.24
40,5,0.5,6,50.0,0.44,-2.52,-63.15
40,5,0.8,6,33.33,0.16,-2.92,-173.87
40,5,1.0,6,33.33,0.14,-2.96,-198.84
40,5,1.2,6,33.33,0.13,-3.02,-223.79
40,5,1.5,6,33.33,0.12,-4.51,-242.24
40,7,0.5,5,20.0,0.14,-5.46,-115.84
40,7,0.8,5,40.0,0.24,-2.79,-123.22
40,7,1.0,5,40.0,0.22,-2.57,-142.79
40,7,1.2,5,40.0,0.19,-2.49,-162.2
40,7,1.5,5,20.0,0.07,-4.22,-244.94
40,10,0.5,5,40.0,0.25,-5.16,-113.04
40,10,0.8,5,80.0,1.31,-1.76,18.45
40,10,1.0,5,80.0,1.11,-1.48,7.93
40,10,1.2,5,80.0,0.97,-1.34,-2.59
40,10,1.5,5,60.0,0.38,-1.63,-95.65
45,3,0.5,16,43.75,0.93,-9.04,-6.9
45,3,0.8,16,37.5,0.66,-16.47,-39.43
45,3,1.0,15,46.67,0.91,-8.78,-11.19
45,3,1.2,13,53.85,0.84,-5.78,-20.4
45,3,1.5,12,50.0,0.71,-5.94,-44.13
45,5,0.5,14,35.71,0.77,-8.56,-26.15
45,5,0.8,14,28.57,0.49,-10.17,-81.92
45,5,1.0,14,35.71,0.67,-7.94,-52.93
45,5,1.2,14,42.86,0.59,-7.08,-63.63
45,5,1.5,12,41.67,0.62,-6.68,-60.83
45,7,0.5,10,30.0,0.9,-8.72,-10.46
45,7,0.8,10,40.0,0.91,-7.84,-11.31
45,7,1.0,10,50.0,1.42,-5.45,43.72
45,7,1.2,10,50.0,1.05,-4.89,5.81
45,7,1.5,9,33.33,0.68,-5.48,-53.85
45,10,0.5,9,33.33,0.24,-9.04,-98.37
45,10,0.8,9,55.56,0.67,-7.51,-26.78
45,10,1.0,9,66.67,1.71,-5.06,38.91
45,10,1.2,9,66.67,1.03,-4.45,1.77
45,10,1.5,8,50.0,0.41,-3.62,-70.73
50,3,0.5,26,38.46,0.39,-14.9,-99.2
50,3,0.8,22,40.91,0.55,-21.64,-53.6
50,3,1.0,19,47.37,0.73,-10.97,-35.35
50,3,1.2,16,50.0,0.78,-7.03,-26.33
50,3,1.5,14,50.0,0.63,-4.57,-58.29
50,5,0.5,20,35.0,0.49,-11.46,-70.88
50,5,0.8,18,33.33,0.45,-14.81,-86.71
50,5,1.0,18,38.89,0.57,-10.12,-69.38
50,5,1.2,17,41.18,0.57,-8.29,-62.56
50,5,1.5,14,42.86,0.56,-5.3,-74.9
50,7,0.5,15,26.67,0.49,-11.44,-75.45
50,7,0.8,15,33.33,0.47,-10.3,-91.39
50,7,1.0,15,40.0,0.61,-7.91,-65.91
50,7,1.2,14,42.86,0.64,-6.51,-52.24
50,7,1.5,12,33.33,0.43,-4.74,-122.87
50,10,0.5,16,25.0,0.1,-13.33,-221.63
50,10,0.8,15,40.0,0.22,-10.68,-137.23
50,10,1.0,15,46.67,0.36,-8.34,-109.12
50,10,1.2,14,50.0,0.34,-6.95,-95.55
50,10,1.5,12,41.67,0.19,-5.17,-166.98
